"AccessionID","State","OriginLab","SubmittingLab"
"EPI_ISL_6825236","Sabah","Hospital Lahad Datu","MGVI"
"EPI_ISL_6825237","Sabah","Hospital Lahad Datu","MGVI"
"EPI_ISL_6825238","Sabah","Hospital Lahad Datu","MGVI"
"EPI_ISL_6825243","Sabah","Hospital Duchess Of Kent","MGVI"
"EPI_ISL_6825246","Sabah","Pejabat Kesihatan Kawasan Lahad Datu","MGVI"
"EPI_ISL_6825251","WP Labuan","Jabatan Kesihatan WP Labuan","MGVI"
"EPI_ISL_6825252","Sabah","Hospital Keningau","MGVI"
"EPI_ISL_6825261","WP Labuan","Jabatan Kesihatan WP Labuan","MGVI"
"EPI_ISL_6825289","Sabah","Pejabat Kesihatan Daerah Pitas","MGVI"
"EPI_ISL_6825291","Sabah","Pejabat Kesihatan Daerah Kuala Penyu","MGVI"
"EPI_ISL_6825297","Sabah","Pejabat Kesihatan Daerah Pitas","MGVI"
"EPI_ISL_6825299","Sabah","Pejabat Kesihatan Daerah Pitas","MGVI"
"EPI_ISL_7380252","Johor","Pejabat Kesihatan Daerah Kluang","IMR"
"EPI_ISL_7457755","Sabah","Pejabat Kesihatan Daerah Tenom","IMR"
"EPI_ISL_6773975","Sabah","Hospital Lahad Datu","IMR"
"EPI_ISL_6773979","Sabah","Hospital Wanita Dan Kanak-Kanak Sabah","IMR"
"EPI_ISL_6773990","Selangor","Hospital Sungai Buloh","IMR"
"EPI_ISL_6773996","Sabah","Hospital Wanita Dan Kanak-Kanak Sabah","IMR"
"EPI_ISL_6774001","Selangor","Jabatan Kesihatan Negeri Selangor","IMR"
"EPI_ISL_6774003","Selangor","Jabatan Kesihatan Negeri Selangor","IMR"
"EPI_ISL_6774006","WP Labuan","Jabatan Kesihatan Negeri WP Labuan","IMR"
"EPI_ISL_6774009","Sabah","Hospital Lahad Datu","IMR"
"EPI_ISL_6774011","Sabah","Hospital Lahad Datu","IMR"
"EPI_ISL_6774030","Selangor","Jabatan Kesihatan Negeri Selangor","IMR"
"EPI_ISL_6774051","Selangor","Hospital Sungai Buloh","IMR"
"EPI_ISL_6913879","Sabah","Pejabat Kesihatan Kawasan Kota Kinabalu","IMR"
"EPI_ISL_6913950","Sabah","Pejabat Kesihatan Kawasan Kota Kinabalu","IMR"
"EPI_ISL_6913957","Sabah","Pejabat Kesihatan Daerah Tenom","IMR"
"EPI_ISL_6914215","Sabah","Pejabat Kesihatan Daerah Ranau","IMR"
"EPI_ISL_6914426","Sabah","Pejabat Kesihatan Daerah Pitas","IMR"
"EPI_ISL_6914613","Sabah","Pejabat Kesihatan Daerah Tenom","IMR"
"EPI_ISL_6915076","Selangor","Jabatan Kesihatan Negeri Selangor","IMR"
"EPI_ISL_6968314","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968520","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968564","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968671","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968042","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968067","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968116","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968126","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968140","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968153","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968165","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968177","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968193","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968206","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968237","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968244","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968260","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968271","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6968292","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968300","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968603","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968323","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968338","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968353","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968367","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968378","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968386","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968398","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968407","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968418","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968431","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968448","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968487","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968497","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968529","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968536","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968543","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968555","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968576","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968593","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968608","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969047","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968619","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968638","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968692","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968726","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968733","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968751","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968790","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968799","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968837","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968856","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968889","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968898","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968926","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968934","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968942","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968970","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968985","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6968998","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969006","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969015","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969029","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969037","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969248","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969060","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969073","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969083","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969091","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969098","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969111","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969206","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969219","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969497","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969538","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969608","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969646","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969873","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969883","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969903","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969947","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970174","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6969958","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970020","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970035","Sarawak","Gribbles Pathology Sdn Bhd","UNIMAS"
"EPI_ISL_6970077","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970091","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970111","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970125","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970140","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970201","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970202","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970216","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970234","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970251","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970257","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970261","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970391","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970394","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970283","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970286","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970396","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970293","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970403","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970298","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970305","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970404","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6970323","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970332","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970337","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970406","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970407","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970349","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970354","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970358","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970409","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970410","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970362","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970411","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970370","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970412","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970373","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970413","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970414","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970415","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970377","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970418","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970383","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970385","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970386","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970387","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970432","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970433","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970437","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970441","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6970443","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970445","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970446","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970447","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968774","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968810","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968817","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6968867","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968908","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969120","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6968467","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6969679","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969732","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969765","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969775","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969840","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969922","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969930","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969971","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969989","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969997","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970071","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970194","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970380","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6970382","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970389","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970399","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970400","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969135","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969176","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969188","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969196","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969282","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969299","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969323","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969334","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969366","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969396","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969416","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969432","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969440","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969465","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969471","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969483","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969523","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969623","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969657","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969669","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969706","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969744","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969782","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969797","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969812","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969825","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969830","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969914","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969978","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970013","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970028","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970059","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970116","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970119","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970128","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970138","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970149","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970155","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970161","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970169","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970183","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970208","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970222","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970227","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970247","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970266","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970392","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970393","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970273","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970395","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970291","Sarawak","Gribbles Pathology Sdn Bhd","UNIMAS"
"EPI_ISL_6970397","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970398","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970401","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970402","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970405","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6970313","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970341","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_6970417","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970419","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970388","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970390","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6970440","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_7087797","Pulau Pinang","Klinik Wellness","UMMC"
"EPI_ISL_7468531","Negeri Sembilan","Pejabat Kesihatan Daerah Tampin","UMBI-UKM"
"EPI_ISL_7468529","Negeri Sembilan","Pejabat Kesihatan Daerah Jempol","UMBI-UKM"
"EPI_ISL_7260008","Sabah","Pejabat Kesihatan Kawasan Kota Kinabalu","MGVI"
"EPI_ISL_7260031","Sabah","Hospital Lahad Datu","MGVI"
"EPI_ISL_7260055","Sabah","Pejabat Kesihatan Daerah Sipitang","MGVI"
"EPI_ISL_7260093","Sabah","Pejabat Kesihatan Daerah Tenom","MGVI"
"EPI_ISL_7260100","Sabah","Pejabat Kesihatan Daerah Tenom","MGVI"
"EPI_ISL_7260151","WP Labuan","Jabatan Kesihatan WP Labuan","MGVI"
"EPI_ISL_7260252","Sabah","Hospital Kudat","MGVI"
"EPI_ISL_7260281","WP Labuan","Jabatan Kesihatan WP Labuan","MGVI"
"EPI_ISL_7260325","WP Labuan","Jabatan Kesihatan WP Labuan","MGVI"
"EPI_ISL_7260339","Sabah","Pejabat Kesihatan Daerah Sipitang","MGVI"
"EPI_ISL_7260349","Sabah","Hospital Keningau","MGVI"
"EPI_ISL_7260354","Sabah","Pejabat Kesihatan Kawasan Kota Kinabalu","MGVI"
"EPI_ISL_7457286","Selangor","Jabatan Kesihatan Negeri Selangor","IMR"
"EPI_ISL_6969693","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969790","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969849","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6970044","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970177","Sarawak","Pusat Jantung Sarawak","UNIMAS"
"EPI_ISL_6970416","Sarawak","Hospital Bintulu","UNIMAS"
"EPI_ISL_6969146","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969157","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_6969229","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969236","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969260","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969266","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969308","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969345","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969356","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969382","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969407","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_6969449","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969513","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969570","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969587","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6969595","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_6825228","Sabah","Hospital Duchess Of Kent","MGVI"
"EPI_ISL_6825229","Sabah","Hospital Duchess Of Kent","MGVI"
"EPI_ISL_6773823","Johor","Hospital Enche' Besar Hajjah Khalsom","UMBI-UKM"
"EPI_ISL_6773831","Johor","Hospital Enche' Besar Hajjah Khalsom","UMBI-UKM"
"EPI_ISL_7468532","Negeri Sembilan","Pejabat Kesihatan Daerah Jempol","UMBI-UKM"
"EPI_ISL_7472868","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472869","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472870","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472871","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472872","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472873","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472874","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472875","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472876","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472877","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472878","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472879","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472880","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472881","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472882","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472885","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472886","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472887","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472888","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472889","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472890","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472891","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472892","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472893","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472894","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472896","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472898","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472899","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472900","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472901","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472902","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472903","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472904","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472905","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472907","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472908","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472909","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472910","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472911","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472912","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472914","Sarawak","Rejang Medical Centre","UNIMAS"
"EPI_ISL_7472917","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472918","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472920","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472921","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472922","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_7472923","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472924","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472925","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472926","Sarawak","Bintulu Medical Centre","UNIMAS"
"EPI_ISL_7472930","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_7472932","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_7472933","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_7472936","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_7472937","Sarawak","Sarawak General Hospital","UNIMAS"
